VIN,Mileage,Oil Life,Average MPG,Brake Fluid Level,Brake Fluid Pressure,Oil Pressure
1GKS2AKC3GR568598,28698,65,35,Full,Good,Good
1FAHP2F85GG997072,12038,31,23,Full,Good,Good
2G1378S30G9271464,21766,69,28,Full,Good,Good
1FAHP2F36GG526879,15592,59,30,Full,Good,Good
2G1378S30G9921663,20947,81,32,Full,Good,Good
2G1378S30G9686526,22539,35,23,Full,Good,Good
2G1378S30G9200558,23425,45,32,Full,Good,Good
1FAHP2F85GG644118,10696,57,23,Full,Good,Good
2G1355S30G9168955,28748,47,27,Full,Good,Good
1FAHP2F85GG991194,21988,49,26,Full,Good,Good
1FAHP1F85GG437379,29067,43,27,Full,Good,Good
1FAHP2F85GG283600,13681,75,22,Full,Good,Good
2G1355S30G9185791,18895,88,35,Full,Good,Good
1FAHP2F36GG494021,19859,68,31,Full,Good,Good
1HAS4AKC3GR185580,13501,35,24,Full,Good,Acceptable
1FAHP1F85GG615760,17941,35,20,Full,Good,Good
1FAHP1F85GG617915,22758,95,29,Full,Good,Good
1HAS4AKC3GR324223,7557,40,34,Full,Good,Good
2G1378S30G9489672,11815,70,36,Full,Good,Good
2G1145S30G9473743,29971,30,35,Full,Good,Good
2G1355S30G9193889,13993,83,28,Full,Good,Good
1FAHP1F85GG584957,18756,44,21,Full,Good,Good
1HAS4AKC3GR356458,20025,95,27,Full,Good,Good
2G1378S30G9201006,10736,98,32,Full,Good,Good
1GKS2AKC3GR824031,16485,80,20,Full,Good,Good
1HAS4AKC3GR681745,13574,86,29,Full,Good,Good
2G1378S30G9636903,21314,56,25,Full,Good,Good
2G1378S30G9760296,24572,40,30,Full,Good,Good
1FAHP1F85GG236715,24176,79,35,Full,Good,Good
1FAHP2F36GG532281,28583,34,35,Full,Good,Good
1GKS2AKC3GR135723,29568,87,33,Full,Good,Good
2G1378S30G9369133,28060,81,36,Full,Good,Good
1GKS2AKC3GR692982,14374,76,23,Full,Good,Good
1FAHP1F85GG684372,23714,57,35,Full,Good,Good
1GKS2AKC3GR579301,27706,55,28,Full,Good,Good
2G1378S30G9685387,13572,33,33,Full,Good,Good
1FAHP2F85GG613982,18992,42,23,Full,Good,Good
1HAS4AKC3GR663353,25354,69,21,Full,Good,Good
1GKS2AKC3GR764428,26517,74,36,Full,Good,Good
1FAHP1F85GG629586,26057,87,33,Full,Good,Good
2G1145S30G9128748,17366,65,29,Full,Good,Good
1GKS2AKC3GR410348,23707,34,28,Full,Good,Good
1HAS4AKC3GR197990,27418,94,26,Full,Good,Good
1FAHP2F36GG464728,16546,63,34,Full,Good,Good
1FAHP1F85GG216451,14763,87,25,Full,Good,Good
2G1355S30G9482169,28453,99,34,Full,Good,Good
1FAHP2F85GG742404,27789,73,21,Acceptable,Good,Good
1FAHP2F36GG151778,8926,83,27,Full,Good,Good
2G1378S30G9841530,21943,47,21,Full,Good,Good
1FAHP2F85GG716047,6350,58,35,Full,Good,Good
1HAS4AKC3GR428864,7490,64,30,Acceptable,Good,Good
1HAS4AKC3GR755103,19840,92,33,Full,Good,Good
1HAS4AKC3GR791478,6650,77,30,Full,Good,Good
2G1145S30G9704079,26237,55,33,Full,Good,Good
2G1355S30G9227074,24056,67,25,Full,Good,Good
1FAHP1F85GG581098,29701,40,29,Full,Good,Good
1GKS2AKC3GR618103,12745,34,32,Full,Good,Good
1FAHP2F85GG247987,18571,41,35,Full,Good,Good
2G1145S30G9522420,9863,54,27,Full,Good,Good
1GKS2AKC3GR756879,7657,85,28,Full,Good,Good
2G1145S30G9803199,10033,77,20,Full,Good,Good
1FAHP1F85GG133337,25499,56,22,Full,Good,Low
1GKS2AKC3GR393096,27422,53,26,Full,Good,Good
2G1145S30G9487473,13059,68,27,Full,Good,Good
1FAHP1F85GG972002,16063,59,28,Full,Good,Good
2G1378S30G9612630,15131,17,27,Full,Good,Good
1FAHP2F85GG300514,6015,30,30,Full,Good,Good
2G1378S30G9920428,29821,63,24,Full,Good,Good
2G1145S30G9388160,6760,74,33,Full,Good,Good
1FAHP2F36GG240053,28383,82,33,Full,Good,Good
1FAHP2F36GG960527,22433,81,35,Full,Good,Good
1FAHP2F85GG997725,6821,33,23,Full,Good,Good
1FAHP2F85GG274412,12176,82,23,Full,Good,Good
1FAHP1F85GG280631,29304,88,21,Full,Good,Good
1FAHP2F36GG949780,8899,57,20,Full,Good,Good
2G1145S30G9315337,15760,95,21,Full,Good,Good
1HAS4AKC3GR473241,22175,5,22,Full,Good,Good
2G1378S30G9438733,29961,51,24,Full,Good,Good
1FAHP2F36GG390006,27684,72,23,Full,Good,Good
1HAS4AKC3GR992159,18877,90,29,Full,Good,Good
2G1355S30G9672391,13522,80,22,Full,Good,Good
1FAHP2F85GG172823,6884,38,36,Full,Good,Good
1FAHP2F85GG198213,17181,97,36,Full,Good,Good
2G1145S30G9650970,17074,56,29,Full,Good,Good
1HAS4AKC3GR901812,10597,33,33,Full,Good,Good
2G1355S30G9704727,24336,47,35,Full,Good,Good
2G1145S30G9430075,20756,79,28,Full,Good,Good
2G1355S30G9397369,17150,56,31,Full,Good,Good
1HAS4AKC3GR518413,25114,34,22,Full,Good,Good
1FAHP2F85GG415197,13738,32,30,Full,Good,Good
1FAHP2F85GG873155,22809,86,22,Full,Good,Good
1FAHP1F85GG196545,27888,41,33,Full,Good,Good
1HAS4AKC3GR463661,7009,37,34,Full,Good,Good
1FAHP2F36GG664156,19079,81,28,Full,Good,Good
1FAHP2F85GG180812,16932,90,25,Full,Good,Good
2G1378S30G9394845,7448,57,21,Full,Good,Good
1FAHP2F36GG804186,21730,86,33,Full,Good,Good
1FAHP2F36GG961581,27330,52,24,Full,Good,Good
2G1145S30G9401795,20995,94,28,Full,Good,Good
2G1145S30G9786647,18017,50,36,Full,Good,Good
1HAS4AKC3GR892730,19414,50,27,Full,Good,Good
1FAHP2F36GG754313,17038,96,25,Full,Good,Good
1FAHP1F85GG337028,13287,63,30,Full,Good,Good
1FAHP2F85GG344690,18611,35,24,Full,Good,Good
1GKS2AKC3GR851200,24597,44,21,Full,Good,Good
1GKS2AKC3GR975078,28142,32,27,Full,Good,Good
2G1355S30G9455133,14435,37,34,Full,Good,Good
1FAHP1F85GG171265,23263,87,20,Full,Good,Good
1GKS2AKC3GR145852,10498,13,25,Full,Good,Good
1FAHP1F85GG125351,6121,96,25,Full,Good,Good
2G1145S30G9632765,16022,66,26,Full,Good,Good
1FAHP2F85GG794124,27082,45,28,Full,Good,Good
2G1378S30G9136444,10949,43,24,Full,Good,Good
1GKS2AKC3GR801864,6527,51,30,Full,Good,Good
1GKS2AKC3GR849597,25831,81,26,Full,Good,Good
1FAHP2F85GG881171,22508,68,30,Full,Good,Good
2G1145S30G9635964,14198,61,22,Full,Good,Good
1FAHP2F85GG175652,10579,85,23,Full,Good,Good
1HAS4AKC3GR146792,15653,74,26,Full,Good,Good
1HAS4AKC3GR644723,18222,61,32,Full,Good,Good
1FAHP2F85GG382976,28468,54,29,Full,Good,Good
1GKS2AKC3GR469103,22506,1,23,Full,Good,Good
1GKS2AKC3GR349587,11167,63,35,Full,Good,Good
1FAHP1F85GG161513,24046,78,29,Full,Good,Good
1GKS2AKC3GR960533,29554,49,23,Full,Good,Good
1FAHP1F85GG466261,22879,79,23,Full,Good,Good
2G1355S30G9498230,13762,91,35,Full,Good,Good
1GKS2AKC3GR568203,23519,56,21,Full,Good,Good
1FAHP2F36GG774311,26947,79,36,Full,Good,Good
1FAHP2F36GG674301,27319,57,32,Full,Good,Good
2G1145S30G9958179,9571,67,24,Full,Good,Good
1HAS4AKC3GR299280,12343,84,28,Full,Good,Good
1FAHP2F36GG847503,29873,42,36,Full,Good,Good
1FAHP1F85GG467739,23002,95,31,Full,Good,Good
1FAHP2F36GG829814,21404,85,26,Full,Good,Good
2G1355S30G9298494,15970,41,33,Full,Good,Good
1FAHP1F85GG809039,14300,92,20,Full,Low,Good
2G1355S30G9123249,23475,62,27,Full,Good,Good
1HAS4AKC3GR387077,21476,47,31,Full,Good,Good
1FAHP1F85GG468429,21091,73,23,Full,Good,Good
1GKS2AKC3GR343780,19651,94,28,Full,Good,Good
1FAHP2F85GG212899,20253,64,25,Full,Good,Good
2G1378S30G9906242,26132,41,33,Full,Good,Good
2G1145S30G9842307,18933,88,20,Full,Good,Good
1HAS4AKC3GR235542,17351,70,23,Full,Good,Good
1FAHP1F85GG392509,27859,55,33,Full,Good,Good
1FAHP1F85GG658401,17199,95,27,Full,Good,Acceptable
1GKS2AKC3GR478920,9264,87,22,Full,Good,Good
1FAHP2F36GG659155,12504,92,23,Full,Good,Good
1FAHP2F85GG972595,13660,43,34,Full,Good,Good
2G1355S30G9261026,28682,74,20,Full,Acceptable,Good
1FAHP1F85GG455834,24240,86,31,Full,Good,Good
2G1145S30G9197277,6536,37,35,Full,Good,Good
1FAHP2F36GG303929,6474,89,33,Full,Good,Good
1GKS2AKC3GR718614,23757,87,23,Full,Good,Good
1FAHP2F85GG592486,6378,61,35,Full,Good,Good
1FAHP1F85GG774522,6770,45,36,Full,Good,Good
2G1145S30G9410605,20654,32,27,Full,Good,Good
2G1378S30G9722287,14849,49,23,Full,Good,Good
2G1378S30G9116353,19709,57,25,Full,Good,Good
2G1378S30G9482253,12152,55,26,Full,Good,Good
2G1378S30G9759487,23108,66,27,Full,Good,Good
2G1378S30G9514712,13007,95,35,Full,Good,Good
2G1145S30G9375720,16369,38,21,Full,Good,Good
2G1378S30G9203340,25941,43,29,Full,Good,Good
2G1355S30G9790384,26973,56,24,Full,Good,Good
1GKS2AKC3GR283750,12902,35,36,Full,Good,Good
2G1378S30G9872250,13279,33,25,Full,Good,Acceptable
1FAHP1F85GG744544,22207,54,24,Full,Good,Good
1FAHP2F36GG523830,29740,85,20,Full,Good,Good
1FAHP2F85GG417601,10020,47,20,Full,Good,Good
1FAHP1F85GG957438,9912,82,26,Full,Good,Good
1FAHP2F85GG987393,18522,40,36,Full,Good,Good
2G1145S30G9299111,9284,99,21,Full,Good,Acceptable
1FAHP1F85GG965951,27523,98,27,Full,Good,Good
1FAHP2F85GG683943,11061,61,23,Acceptable,Good,Good
2G1145S30G9242565,11295,96,21,Full,Good,Good
2G1355S30G9803074,27050,39,35,Full,Good,Good
1GKS2AKC3GR691207,8565,3,28,Full,Good,Good
2G1378S30G9254822,21388,43,20,Full,Good,Good
1FAHP2F85GG829625,15397,97,22,Full,Good,Good
2G1378S30G9875520,29959,15,35,Full,Good,Good
1GKS2AKC3GR272784,17123,62,33,Full,Good,Good
1FAHP2F36GG446972,6904,56,21,Full,Good,Good
1HAS4AKC3GR515110,10440,48,22,Full,Good,Good
1FAHP1F85GG139720,23688,94,27,Full,Good,Good
2G1145S30G9824835,29468,89,30,Full,Good,Good
1FAHP2F36GG924967,27954,93,27,Full,Good,Good
2G1145S30G9347293,7787,78,32,Full,Good,Good
1FAHP1F85GG717418,19803,46,24,Full,Good,Good
2G1145S30G9876330,15013,71,23,Full,Good,Good
2G1378S30G9969726,26258,37,24,Full,Good,Good
1FAHP2F85GG379422,25777,58,24,Full,Good,Good
1GKS2AKC3GR296332,25747,76,29,Acceptable,Acceptable,Good
1FAHP1F85GG238121,22847,41,26,Full,Good,Good
2G1145S30G9222947,17495,2,32,Full,Good,Good
1FAHP1F85GG474292,8394,49,32,Full,Good,Good
1FAHP2F85GG998845,21529,31,25,Full,Good,Good
1FAHP1F85GG661380,27231,91,33,Full,Good,Good
1GKS2AKC3GR695330,28288,67,34,Full,Good,Good
1FAHP2F36GG863091,8971,49,25,Full,Good,Good
1GKS2AKC3GR240121,16247,62,21,Full,Good,Good
1FAHP2F36GG973928,17865,74,28,Full,Good,Good
2G1145S30G9995974,10715,47,21,Full,Good,Good
2G1145S30G9974653,10907,70,21,Full,Good,Good
1FAHP2F36GG978726,15077,61,35,Full,Good,Good
2G1145S30G9731324,22632,38,26,Full,Good,Good
1HAS4AKC3GR131623,14144,12,32,Full,Good,Good
2G1355S30G9226438,18660,90,30,Full,Good,Good
2G1378S30G9286930,19387,76,26,Full,Good,Good
2G1145S30G9841768,19157,62,30,Full,Good,Good
1HAS4AKC3GR862845,27988,46,33,Full,Good,Good
2G1355S30G9705943,17269,40,25,Full,Acceptable,Good
2G1355S30G9939493,20271,43,32,Full,Good,Good
1FAHP1F85GG288809,11924,42,34,Full,Good,Good
1HAS4AKC3GR433862,25389,78,22,Full,Good,Good
1HAS4AKC3GR512599,16805,75,21,Full,Good,Good
1GKS2AKC3GR739359,22629,93,20,Full,Good,Good
2G1145S30G9506196,18166,40,31,Full,Good,Good
1FAHP2F85GG620690,21369,51,25,Full,Good,Good
1FAHP2F36GG355820,13135,50,24,Full,Good,Good
1FAHP2F85GG972044,18099,42,23,Full,Good,Good
1HAS4AKC3GR391926,24650,98,35,Full,Good,Good
2G1145S30G9518787,21489,92,28,Full,Good,Good
1HAS4AKC3GR345666,20758,26,20,Full,Good,Good
1FAHP1F85GG370025,27055,86,31,Full,Good,Good
2G1145S30G9233911,21079,57,36,Full,Good,Good
2G1355S30G9655066,20492,50,20,Full,Good,Good
2G1145S30G9575101,15144,88,26,Full,Good,Good
1FAHP2F85GG815308,15120,78,30,Full,Good,Good
1FAHP1F85GG673666,9072,93,35,Full,Good,Good
1FAHP2F36GG982448,9186,63,20,Full,Good,Good
2G1355S30G9185335,13842,87,22,Full,Good,Good
1FAHP2F36GG356700,7120,71,27,Full,Good,Good
1HAS4AKC3GR596968,10811,48,35,Full,Good,Good
1FAHP1F85GG180899,24363,48,35,Full,Good,Good
2G1145S30G9986984,29839,42,25,Full,Good,Good
2G1355S30G9234314,18872,86,24,Full,Good,Good
1FAHP2F85GG698256,17498,62,22,Full,Good,Good
1HAS4AKC3GR953866,19019,57,29,Acceptable,Good,Good
1FAHP1F85GG606197,24570,62,32,Full,Good,Good
1FAHP1F85GG525068,9398,87,28,Full,Good,Good
1HAS4AKC3GR336730,17241,57,22,Full,Good,Good
2G1355S30G9408015,9325,53,35,Full,Good,Good
1HAS4AKC3GR350224,27662,34,28,Full,Good,Good
2G1145S30G9154306,24074,35,34,Full,Good,Good
2G1145S30G9924871,6489,93,33,Full,Good,Good
1GKS2AKC3GR238978,15329,62,36,Full,Good,Good
1FAHP2F85GG769372,10422,57,30,Full,Good,Good
1FAHP2F36GG734823,22794,35,31,Full,Good,Good
1FAHP2F36GG288998,12953,78,23,Full,Good,Good
2G1355S30G9202046,11860,71,34,Full,Good,Good
2G1378S30G9830177,8842,98,22,Full,Good,Good
2G1145S30G9393784,20304,34,23,Full,Good,Good
1FAHP1F85GG256806,22622,97,36,Full,Good,Good
1FAHP2F85GG543872,20427,50,22,Full,Good,Good
1FAHP1F85GG407793,8196,96,35,Full,Good,Good
1FAHP2F85GG493396,16131,51,30,Full,Good,Good
1GKS2AKC3GR742303,8616,65,34,Full,Good,Good
2G1145S30G9501954,7492,41,32,Full,Good,Good
2G1145S30G9735404,8795,82,28,Full,Good,Good
2G1145S30G9796737,15579,45,20,Full,Good,Good
2G1145S30G9327624,12032,58,28,Full,Good,Good
2G1145S30G9472179,29143,75,29,Full,Good,Good
1HAS4AKC3GR524977,24817,45,26,Full,Good,Good
1FAHP2F36GG610421,25059,97,34,Full,Good,Good
2G1145S30G9882247,16672,66,35,Full,Good,Good
2G1355S30G9505352,25735,65,35,Full,Good,Good
2G1355S30G9620997,24496,43,30,Full,Good,Good
2G1145S30G9288756,9377,51,23,Full,Good,Good
2G1378S30G9457589,19258,30,26,Full,Good,Good
1GKS2AKC3GR862043,29004,76,34,Full,Good,Good
2G1355S30G9615380,24652,65,29,Full,Good,Good
1HAS4AKC3GR727147,19785,90,29,Full,Good,Good
2G1355S30G9953869,18722,93,29,Full,Good,Good
2G1355S30G9268131,6190,96,32,Full,Good,Good
1FAHP2F85GG929043,17401,79,34,Full,Good,Good
2G1378S30G9425404,26089,87,35,Full,Good,Good
2G1355S30G9479461,14033,89,29,Full,Good,Good
1FAHP1F85GG143219,22459,30,21,Full,Good,Good
1FAHP1F85GG204927,21105,85,30,Full,Good,Good
2G1378S30G9968920,29187,62,32,Full,Good,Good
1FAHP1F85GG195090,20174,95,24,Full,Good,Good
2G1145S30G9479277,9030,69,33,Full,Good,Good
2G1355S30G9574059,11552,35,23,Full,Good,Good
1FAHP2F36GG465389,15698,88,32,Full,Good,Good
1GKS2AKC3GR939118,6505,66,33,Full,Good,Good
2G1145S30G9312907,6719,77,20,Full,Good,Good
1FAHP2F36GG445080,11267,37,35,Full,Acceptable,Good
1HAS4AKC3GR361148,19754,93,20,Full,Good,Good
2G1355S30G9720754,17265,55,20,Full,Good,Good
1HAS4AKC3GR526696,21090,45,33,Full,Good,Good
1FAHP1F85GG686723,18820,75,32,Full,Good,Good
1GKS2AKC3GR213048,10456,76,30,Full,Good,Good
1GKS2AKC3GR715837,25184,37,26,Full,Good,Good
2G1355S30G9186211,25176,48,25,Full,Good,Good
2G1145S30G9806491,9766,46,30,Full,Good,Good
2G1355S30G9962828,15732,93,33,Full,Good,Good
2G1145S30G9228277,13416,39,25,Full,Good,Good
2G1355S30G9368369,15965,69,35,Full,Good,Good
1FAHP1F85GG895490,13278,40,35,Full,Good,Good
1FAHP1F85GG946484,22811,38,27,Full,Good,Good
2G1145S30G9206461,11548,97,27,Full,Good,Good
1FAHP2F85GG426531,7501,39,34,Full,Good,Good
1GKS2AKC3GR152195,15242,86,27,Full,Good,Good
1FAHP2F85GG251801,21436,84,33,Full,Good,Good
1GKS2AKC3GR942004,8906,71,28,Full,Good,Good
1FAHP1F85GG861049,17977,70,25,Full,Good,Good
2G1378S30G9588504,19801,36,32,Full,Good,Good
2G1378S30G9134607,17468,35,29,Full,Good,Good
2G1355S30G9598687,15835,95,27,Full,Good,Good
2G1145S30G9116975,12741,41,25,Full,Good,Good
1FAHP2F85GG567088,19617,42,22,Full,Good,Good
1HAS4AKC3GR835300,21788,96,34,Full,Good,Good
1GKS2AKC3GR601591,8522,80,36,Full,Good,Good
1FAHP2F85GG346194,20126,35,22,Full,Good,Good
2G1145S30G9486044,29549,55,33,Full,Good,Good
1FAHP2F85GG352968,7673,78,23,Full,Good,Good
2G1378S30G9692476,23827,82,35,Full,Good,Good
1HAS4AKC3GR171369,19004,47,35,Full,Good,Good
1HAS4AKC3GR204977,24385,39,33,Full,Good,Good
1GKS2AKC3GR745054,6582,61,33,Full,Good,Good
1HAS4AKC3GR750315,28909,79,26,Full,Good,Good
2G1145S30G9129873,29459,86,22,Full,Good,Good
2G1355S30G9497876,15169,72,33,Full,Good,Good
1HAS4AKC3GR824742,10629,77,33,Full,Good,Good
1GKS2AKC3GR527002,10734,57,20,Full,Good,Good
1FAHP2F36GG645250,15286,70,25,Full,Good,Good
1GKS2AKC3GR747502,25783,59,36,Full,Good,Good
1FAHP1F85GG595244,8931,35,31,Full,Good,Good
1FAHP1F85GG997926,29873,60,20,Full,Good,Good
1FAHP1F85GG562477,24041,78,23,Full,Good,Good
1FAHP1F85GG333855,25521,52,20,Full,Good,Good
1FAHP1F85GG953363,13401,63,32,Full,Good,Good
1GKS2AKC3GR232502,7541,41,27,Full,Good,Good
2G1378S30G9944830,24381,54,22,Full,Good,Good
1FAHP1F85GG732493,20972,78,28,Full,Good,Good
2G1355S30G9843873,22618,87,27,Full,Good,Good
1FAHP2F85GG971541,29197,65,23,Full,Good,Good
1FAHP1F85GG478037,15695,47,26,Full,Good,Good
2G1378S30G9177088,19244,86,22,Full,Good,Good
2G1378S30G9328229,20175,43,26,Full,Good,Good
2G1145S30G9514138,28414,31,31,Full,Good,Good
2G1145S30G9368673,6679,95,29,Full,Good,Good
1FAHP1F85GG388478,22029,43,31,Full,Good,Good
1HAS4AKC3GR768290,14553,94,33,Full,Good,Good
1GKS2AKC3GR493398,18971,35,32,Full,Good,Good
2G1355S30G9905916,26940,81,20,Full,Good,Good
2G1145S30G9544858,18155,55,35,Full,Acceptable,Good
1GKS2AKC3GR711444,24756,66,28,Full,Good,Good
2G1355S30G9807723,9877,76,21,Full,Good,Good
1FAHP2F36GG671492,13724,96,27,Full,Good,Good
2G1145S30G9829574,28252,64,32,Full,Good,Acceptable
1FAHP2F85GG692775,17562,73,25,Full,Good,Good
2G1355S30G9774024,9707,33,34,Full,Good,Good
1FAHP2F85GG574345,7907,99,25,Full,Good,Good
1FAHP2F85GG619180,21479,51,23,Full,Good,Good
1FAHP2F36GG141744,12666,7,30,Full,Good,Good
1HAS4AKC3GR422873,9037,83,34,Full,Good,Good
1GKS2AKC3GR856549,29059,90,27,Full,Good,Good
1FAHP1F85GG121835,29481,36,24,Full,Good,Good
2G1355S30G9665328,15025,62,24,Full,Good,Good
1FAHP1F85GG362821,28156,82,31,Full,Good,Good
1FAHP1F85GG433945,20265,49,20,Full,Good,Good
1HAS4AKC3GR881517,6609,57,24,Full,Good,Good
1GKS2AKC3GR392585,26952,75,32,Full,Good,Good
2G1378S30G9274649,21493,80,24,Full,Good,Good
2G1378S30G9347014,9538,92,28,Full,Good,Good
2G1145S30G9975909,10577,32,35,Full,Good,Good
1HAS4AKC3GR748373,11752,80,27,Full,Good,Good
1FAHP2F36GG772070,29127,73,28,Full,Good,Good
2G1355S30G9251597,24021,46,25,Full,Good,Good
1HAS4AKC3GR295777,27696,84,35,Full,Good,Good
1HAS4AKC3GR967456,9451,69,24,Full,Good,Good
1HAS4AKC3GR673733,16700,92,36,Full,Good,Good
1HAS4AKC3GR561548,25988,67,21,Full,Good,Good
1FAHP2F85GG897160,9757,91,33,Full,Good,Good
1GKS2AKC3GR229076,27903,82,25,Full,Good,Good
2G1145S30G9451574,29925,84,22,Full,Good,Good
1FAHP2F36GG632513,28415,55,30,Full,Good,Good
1HAS4AKC3GR688605,15907,58,22,Full,Good,Good
1FAHP1F85GG962916,17042,99,21,Full,Good,Good
1FAHP1F85GG248523,12714,50,25,Full,Good,Good
1FAHP2F36GG339370,26816,97,28,Full,Good,Good
1HAS4AKC3GR433426,28451,82,36,Full,Good,Good
1FAHP1F85GG875737,7660,60,35,Full,Good,Good
1FAHP1F85GG701015,18107,68,23,Full,Good,Good
1HAS4AKC3GR337845,22841,93,36,Full,Good,Good
1HAS4AKC3GR502210,13461,61,23,Full,Good,Good
1FAHP2F85GG361156,17730,61,30,Full,Good,Good
2G1355S30G9205734,26711,99,27,Full,Good,Low
1HAS4AKC3GR721538,19266,56,30,Full,Good,Good
2G1145S30G9971960,23575,75,27,Full,Good,Good
2G1378S30G9293346,13970,78,25,Full,Good,Good
1FAHP2F36GG372510,6965,92,25,Full,Good,Good
2G1378S30G9878936,10023,88,25,Full,Good,Good
1FAHP2F85GG856084,19156,43,21,Full,Good,Good
1FAHP2F85GG537095,17678,9,26,Full,Good,Good
1FAHP2F36GG293647,17557,38,24,Full,Good,Good
1FAHP2F36GG144979,28247,79,28,Full,Good,Good
1FAHP1F85GG278707,18524,35,27,Full,Good,Good
1FAHP1F85GG167664,24413,62,35,Full,Good,Good
1FAHP2F85GG553211,24494,77,34,Full,Good,Good
1HAS4AKC3GR926857,28915,82,34,Full,Good,Good
2G1378S30G9142469,29957,82,31,Full,Good,Good
1FAHP2F36GG238753,23606,73,31,Full,Good,Good
1GKS2AKC3GR669917,13254,93,34,Full,Good,Good
1FAHP1F85GG509514,7913,54,35,Full,Good,Good
1HAS4AKC3GR858120,22440,32,21,Full,Good,Good
1FAHP2F85GG454880,9566,89,36,Full,Good,Good
1FAHP2F36GG921436,17312,90,33,Full,Good,Good
1FAHP1F85GG633190,24640,50,29,Full,Good,Good
2G1378S30G9309148,12355,40,34,Full,Good,Good
1HAS4AKC3GR289841,22606,67,21,Full,Good,Good
1GKS2AKC3GR725201,22207,62,22,Full,Good,Good
1HAS4AKC3GR556869,19776,57,26,Full,Good,Good
2G1355S30G9327274,24633,74,21,Full,Good,Good
1FAHP2F85GG119602,27800,38,24,Full,Good,Good
2G1145S30G9654619,12895,34,22,Full,Good,Good
1GKS2AKC3GR482809,26252,44,25,Full,Good,Good
1HAS4AKC3GR331984,6730,58,26,Full,Good,Good
1FAHP1F85GG891406,14405,44,34,Full,Good,Good
1FAHP2F36GG215070,24696,81,23,Full,Good,Good
1FAHP2F85GG445693,7126,43,23,Full,Good,Good
2G1355S30G9811041,28854,84,33,Full,Good,Good
1FAHP1F85GG462920,12042,98,35,Full,Good,Good
1FAHP2F36GG157452,23766,33,30,Full,Good,Good
2G1378S30G9459874,29018,55,23,Full,Good,Good
2G1145S30G9387036,9087,52,24,Full,Good,Good
1HAS4AKC3GR157688,7684,55,21,Full,Good,Good
2G1145S30G9958619,9147,76,36,Full,Good,Good
2G1378S30G9994541,26860,77,30,Full,Good,Good
1HAS4AKC3GR972707,20903,89,24,Full,Good,Good
1HAS4AKC3GR331196,24575,63,21,Full,Good,Good
2G1355S30G9208132,22111,76,32,Full,Good,Good
1FAHP1F85GG200121,21310,41,24,Full,Good,Good
1FAHP1F85GG784247,20394,34,25,Full,Good,Acceptable
1FAHP1F85GG966874,18029,29,21,Full,Good,Good
2G1145S30G9941209,29623,99,25,Full,Good,Good
1FAHP1F85GG180497,26854,52,34,Full,Good,Good
1FAHP2F85GG998563,18833,53,25,Acceptable,Good,Good
1HAS4AKC3GR343833,20272,19,36,Full,Good,Good
1GKS2AKC3GR494323,29446,50,32,Full,Good,Good
2G1355S30G9542484,27903,88,23,Full,Good,Good
1FAHP2F36GG733503,13879,39,27,Full,Good,Good
2G1355S30G9368729,26985,52,22,Full,Good,Good
1HAS4AKC3GR759228,18138,79,27,Full,Good,Good
1FAHP2F85GG915905,26035,18,22,Full,Good,Good
2G1355S30G9585495,17901,44,20,Full,Good,Good
2G1378S30G9580874,20234,55,22,Full,Good,Good
1FAHP2F36GG814870,16238,92,35,Full,Good,Good
2G1145S30G9833839,21982,65,22,Full,Good,Good
1FAHP2F36GG637121,7900,84,31,Full,Good,Good
2G1145S30G9409654,15154,54,30,Full,Good,Good
1GKS2AKC3GR742708,29262,76,29,Full,Good,Good
1GKS2AKC3GR912132,6038,98,33,Full,Good,Good
1GKS2AKC3GR165628,6634,73,34,Full,Acceptable,Good
1FAHP2F85GG141147,16737,18,27,Full,Good,Good
1GKS2AKC3GR235918,13517,63,23,Full,Good,Good
1FAHP1F85GG848563,21863,43,32,Full,Good,Good
2G1145S30G9673594,12417,44,35,Full,Good,Good
2G1145S30G9171324,17488,78,34,Full,Good,Good
2G1378S30G9419265,20707,36,23,Full,Good,Good
1HAS4AKC3GR135662,23223,58,25,Full,Good,Good
1FAHP2F36GG501787,9861,75,29,Full,Good,Good
1FAHP1F85GG539937,16693,29,32,Full,Good,Good
2G1378S30G9642512,7720,66,35,Full,Good,Good
1FAHP1F85GG385988,26905,48,35,Full,Good,Good
1FAHP2F85GG741510,7368,98,32,Full,Good,Good
1FAHP2F36GG694848,18768,32,25,Full,Good,Good
2G1145S30G9912397,9319,76,32,Full,Good,Good
1FAHP1F85GG155496,18134,81,27,Full,Good,Good
2G1145S30G9889923,28674,99,30,Full,Good,Good
2G1378S30G9379900,10500,63,23,Full,Good,Good
1FAHP2F85GG459927,6835,55,34,Full,Good,Good
2G1145S30G9747859,8232,96,31,Full,Good,Good
2G1145S30G9240655,27865,72,21,Full,Good,Good
2G1145S30G9256240,6869,99,24,Full,Good,Good
1GKS2AKC3GR724906,12292,57,21,Full,Good,Good
1GKS2AKC3GR369353,26750,81,32,Full,Good,Good
1GKS2AKC3GR449151,17527,51,23,Full,Good,Good
1FAHP2F85GG214493,12656,62,30,Full,Good,Good
2G1355S30G9638483,27801,55,31,Full,Good,Good
1FAHP2F36GG339434,20114,31,27,Full,Good,Good
1FAHP2F85GG476849,15166,55,27,Full,Good,Good
2G1355S30G9539547,8326,98,25,Full,Good,Good
