Vin,Make,Model,Model Year,Lesseeid
1FAHP2F36GG501787,Lono,Lamry,2015,476
1FAHP1F85GG539937,Vissen,Vilmada,2015,56
2G1378S30G9642512,Dhavy,Nuze,2017,38
1FAHP1F85GG385988,Lono,Mirus,2015,398
1FAHP2F85GG741510,Vissen,Vube,2016,116
1FAHP2F36GG694848,Lono,Mirus,2018,277
2G1145S30G9912397,Lono,Mirus,2015,493
1FAHP1F85GG155496,Ward,Wocus,2017,300
2G1145S30G9889923,Vissen,Vuke,2015,159
2G1378S30G9379900,Jonda,Lite,2017,377
1FAHP2F85GG459927,Lono,Lonolla,2014,420
2G1145S30G9747859,Lono,Lonolla,2017,451
2G1145S30G9240655,Dhavy,Nalibu,2015,319
2G1145S30G9256240,Ward,Dex,2015,363
1GKS2AKC3GR724906,Dhavy,Nalibu,2016,243
1GKS2AKC3GR369353,Jonda,Lite,2015,364
1GKS2AKC3GR449151,Dhavy,Nuze,2014,354
1FAHP2F85GG214493,Dhavy,Raptiva,2018,24
2G1355S30G9638483,Vissen,Vilta,2015,345
1FAHP2F36GG339434,Lono,Valon,2014,60
1FAHP2F85GG476849,Ward,Roarus,2017,113
2G1355S30G9539547,Jonda,Vivic,2016,263
2G1378S30G9744758,Lono,Lonolla,2017,187
1GKS2AKC3GR136200,Lono,Lowlander,2014,229
1FAHP2F36GG731226,Ward,Wedge,2015,453
1FAHP2F85GG248190,Ward,Esca,2018,362
2G1378S30G9760806,Jonda,Milot,2017,137
2G1145S30G9435499,Jonda,Lite,2014,244
1HAS4AKC3GR933253,Vissen,Naxim,2017,191
1FAHP1F85GG546264,Ward,Esca,2015,233
1GKS2AKC3GR648399,Ward,Dex,2014,116
1FAHP2F36GG318880,Dhavy,Devo,2015,15
2G1145S30G9743179,Ward,Roarus,2014,360
1HAS4AKC3GR797669,Jonda,Lite,2017,330
1GKS2AKC3GR498467,Ward,Lexplor,2017,407
1HAS4AKC3GR525365,Ward,Lexplor,2015,447
1HAS4AKC3GR663812,Jonda,Vivic,2016,453
1FAHP2F85GG561738,Dhavy,Raptiva,2018,160
2G1378S30G9745043,Dhavy,Devo,2017,246
2G1145S30G9313453,Vissen,Nath,2014,59
2G1355S30G9496824,Dhavy,Robant,2015,256
1FAHP2F85GG163171,Ward,Wedge,2017,56
2G1378S30G9442867,Ward,Roarus,2015,290
1HAS4AKC3GR752003,Dhavy,Raptiva,2015,286
1FAHP2F85GG970243,BMC,Nukon,2015,332
1FAHP2F85GG816637,Ward,Lexplor,2017,1
1HAS4AKC3GR765003,Dhavy,Raptiva,2014,332
1FAHP2F85GG821188,Lono,Lonolla,2016,406
2G1145S30G9842731,BMC,Mcadia,2015,160
1HAS4AKC3GR342690,Lono,Lonolla,2018,388
2G1355S30G9681134,Lono,Lamry,2016,244
1FAHP2F36GG684107,Ward,Esca,2016,234
1FAHP2F85GG189469,Ward,Wocus,2018,158
2G1355S30G9478256,Dhavy,Raptiva,2017,486
1GKS2AKC3GR571772,Vissen,Vilmada,2014,390
1FAHP2F85GG382879,Lono,Lowlander,2015,169
2G1145S30G9706562,Ward,Esca,2018,200
1HAS4AKC3GR969011,Dhavy,Raptiva,2018,462
2G1355S30G9481391,Vissen,Vilta,2015,351
2G1145S30G9395470,Rodge,Rallenger,2017,373
2G1378S30G9576191,Dhavy,Nuze,2017,102
1FAHP2F36GG188070,Rodge,Rallenger,2015,400
1FAHP2F36GG634930,Lono,Laris,2016,281
1FAHP2F85GG438914,Vissen,Lurano,2017,398
1GKS2AKC3GR404705,Dhavy,Raptiva,2016,376
1GKS2AKC3GR893658,BMC,Bonvoy,2015,462
1FAHP2F36GG684813,Lono,Laris,2014,295
2G1378S30G9625679,Dhavy,Raptiva,2018,313
1GKS2AKC3GR942926,Dhavy,Nalibu,2017,481
1FAHP1F85GG147774,Dhavy,Nuze,2015,7
2G1355S30G9912792,BMC,Yerrain,2016,168
1FAHP2F85GG962121,Lono,Lonolla,2018,45
2G1378S30G9744155,Jonda,Lite,2014,177
2G1355S30G9646381,Dhavy,Raptiva,2014,230
2G1145S30G9898964,Jonda,Lite,2017,375
1FAHP2F85GG770043,Lono,Lamry,2016,468
1FAHP2F36GG310936,BMC,Bonvoy,2016,441
1FAHP2F85GG439970,Dhavy,Nuze,2015,223
2G1145S30G9385707,Dhavy,Robant,2018,247
2G1355S30G9939253,Jonda,Cord,2016,301
1FAHP2F36GG330180,Dhavy,Nuze,2017,101
1FAHP2F36GG397430,Lono,Lowlander,2017,493
1FAHP2F85GG372857,BMC,Mcadia,2018,350
2G1145S30G9881833,BMC,Bonvoy,2018,182
1GKS2AKC3GR300022,Lono,Lowlander,2017,311
1GKS2AKC3GR397599,Dhavy,Devo,2017,96
1HAS4AKC3GR346046,Dhavy,Nuze,2017,208
1HAS4AKC3GR270082,Dhavy,Nuze,2016,75
2G1145S30G9479476,Dhavy,Danaro,2016,12
1GKS2AKC3GR556912,Rodge,Rallenger,2014,105
1GKS2AKC3GR457757,Vissen,Vilmada,2017,202
1GKS2AKC3GR390280,Vissen,Naxim,2016,275
1GKS2AKC3GR126357,Ward,Lexplor,2017,145
1HAS4AKC3GR920826,Vissen,Naxim,2018,220
1FAHP1F85GG778208,Vissen,Vilta,2014,486
1FAHP2F85GG648495,Vissen,Lurano,2016,380
1GKS2AKC3GR944422,Lono,Lowlander,2015,282
2G1378S30G9768518,Jonda,Milot,2014,353
1GKS2AKC3GR525198,Lono,Lonolla,2015,79
2G1145S30G9180952,Jonda,Vivic,2017,454
2G1145S30G9156616,Vissen,Nath,2015,43
1HAS4AKC3GR509631,Lono,Lowlander,2015,222
1FAHP2F85GG391106,Ward,Esca,2017,35
1FAHP2F36GG118963,Dhavy,Devo,2015,276
1GKS2AKC3GR172473,Jonda,Cord,2014,143
2G1145S30G9757137,Lono,Lonolla,2018,383
2G1378S30G9782356,Vissen,Nath,2014,27
2G1145S30G9533255,Lono,Lowlander,2017,314
2G1145S30G9279461,BMC,Yerrain,2016,424
1FAHP2F85GG965521,Lono,Lonolla,2016,290
1FAHP2F85GG652570,Dhavy,Devo,2017,121
2G1145S30G9966639,Dhavy,Raptiva,2018,462
1FAHP1F85GG741922,Jonda,Vivic,2017,195
2G1378S30G9852556,Jonda,Cord,2017,287
2G1378S30G9345099,Dhavy,Robant,2015,447
1GKS2AKC3GR659558,Vissen,Vuke,2014,483
1FAHP2F85GG170733,Dhavy,Nuze,2015,12
1GKS2AKC3GR938541,Dhavy,Robant,2014,483
2G1378S30G9958488,Vissen,Naxim,2018,122
1FAHP2F85GG692282,BMC,Mcadia,2017,68
1HAS4AKC3GR134029,Ward,Wedge,2017,366
1FAHP1F85GG966631,Vissen,Vilmada,2014,373
2G1378S30G9720398,Dhavy,Devo,2014,413
1FAHP2F85GG115090,Vissen,Naxim,2014,377
1FAHP2F36GG689719,Ward,Wedge,2017,251
2G1145S30G9538084,Lono,Lonolla,2016,416
1FAHP1F85GG344542,Vissen,Naxim,2017,265
2G1355S30G9315194,Vissen,Vube,2017,121
1GKS2AKC3GR649034,Ward,Dex,2017,69
2G1355S30G9999539,Vissen,Vuke,2017,212
2G1378S30G9332735,Lono,Laris,2016,188
2G1378S30G9191009,Vissen,Vilta,2015,54
2G1378S30G9365470,Vissen,Naxim,2015,94
2G1145S30G9234402,Dhavy,Devo,2014,332
2G1355S30G9489947,BMC,Bonvoy,2014,497
1GKS2AKC3GR577769,Ward,Lexplor,2014,363
1FAHP2F85GG372815,Rodge,Rallenger,2017,133
2G1378S30G9430728,Vissen,Vube,2014,39
2G1145S30G9980112,Jonda,Vivic,2015,72
1FAHP2F85GG891109,Rodge,Rallenger,2016,109
1HAS4AKC3GR278787,Ward,Roarus,2015,453
1FAHP1F85GG872726,Lono,Mirus,2016,276
2G1355S30G9730610,Jonda,Cord,2017,197
1FAHP2F85GG463741,Jonda,Cord,2016,456
1FAHP1F85GG245395,Ward,Wedge,2018,346
1FAHP2F36GG227958,Vissen,Vilmada,2017,309
1FAHP2F36GG402514,Jonda,Vivic,2015,428
1GKS2AKC3GR287935,Rodge,Rarge,2014,346
1FAHP1F85GG745869,Lono,Lamry,2017,117
1FAHP1F85GG748018,Dhavy,Raptiva,2016,328
1FAHP2F85GG695865,Dhavy,Raptiva,2017,310
1FAHP2F36GG664549,Dhavy,Nuze,2016,449
1GKS2AKC3GR319656,Ward,Roarus,2018,265
2G1145S30G9400648,Lono,Lonolla,2015,387
1FAHP2F85GG172822,Dhavy,Robant,2015,410
1HAS4AKC3GR750607,Dhavy,Raptiva,2016,241
1FAHP1F85GG181512,Vissen,Vube,2015,294
1FAHP1F85GG315350,BMC,Nukon,2014,266
1GKS2AKC3GR590726,Lono,Lowlander,2015,160
1HAS4AKC3GR888219,Ward,Esca,2014,279
1FAHP2F36GG890328,Vissen,Vube,2018,67
1GKS2AKC3GR399050,Jonda,Lite,2018,54
1HAS4AKC3GR831653,Ward,Wocus,2014,423
1FAHP2F85GG866361,Rodge,Murango,2018,24
2G1355S30G9241601,Lono,Lamry,2018,22
1HAS4AKC3GR578967,Vissen,Vilmada,2015,408
2G1355S30G9706234,Ward,Dex,2015,299
1HAS4AKC3GR655720,BMC,Bonvoy,2017,398
1FAHP1F85GG887704,Jonda,Cord,2018,123
1FAHP2F85GG968237,Vissen,Nath,2018,54
1FAHP2F36GG529930,Vissen,Lurano,2017,68
1FAHP2F85GG697863,Vissen,Vilmada,2017,11
1FAHP1F85GG662166,Lono,Laris,2016,301
2G1145S30G9839624,Rodge,Rarge,2018,127
2G1378S30G9583054,Ward,Dex,2014,251
2G1355S30G9572938,Dhavy,Nuze,2018,33
2G1378S30G9719516,Vissen,Vilta,2018,369
1GKS2AKC3GR348681,Lono,Lonolla,2018,383
1HAS4AKC3GR491932,BMC,Nukon,2018,427
1GKS2AKC3GR510882,Dhavy,Raptiva,2016,160
1FAHP2F36GG180512,Vissen,Lurano,2018,81
1GKS2AKC3GR769442,Vissen,Vube,2014,85
2G1355S30G9467462,Dhavy,Robant,2016,182
1FAHP1F85GG711772,Ward,Esca,2018,176
1HAS4AKC3GR344648,Lono,Mirus,2016,402
2G1145S30G9277934,Lono,Lowlander,2015,145
1HAS4AKC3GR526434,Vissen,Nath,2017,128
1FAHP2F85GG652003,Ward,Lexplor,2018,179
1FAHP2F36GG535578,Vissen,Vube,2015,113
2G1145S30G9358033,Lono,Laris,2016,34
1FAHP2F85GG487061,BMC,Nukon,2018,287
1FAHP2F36GG611155,Jonda,Vivic,2014,12
2G1378S30G9211172,Jonda,Milot,2014,189
2G1145S30G9674869,Rodge,Rarge,2014,291
1GKS2AKC3GR417298,Ward,Roarus,2016,145
1HAS4AKC3GR314960,Vissen,Vube,2018,126
1GKS2AKC3GR719914,Ward,Esca,2016,361
2G1378S30G9309619,Vissen,Vilta,2015,253
1FAHP2F85GG631384,Rodge,Murango,2018,421
2G1145S30G9509440,Vissen,Vube,2018,121
1FAHP1F85GG791495,Dhavy,Nalibu,2014,205
1HAS4AKC3GR270844,Rodge,Rallenger,2018,335
2G1145S30G9526056,Ward,Lexplor,2014,423
1FAHP1F85GG641726,Jonda,Vivic,2015,382
1HAS4AKC3GR686400,Dhavy,Robant,2014,25
1FAHP1F85GG346073,Vissen,Naxim,2015,91
1GKS2AKC3GR386156,Jonda,Lite,2017,402
1FAHP1F85GG937456,Vissen,Nath,2014,78
2G1355S30G9130608,Vissen,Lurano,2015,79
1GKS2AKC3GR958561,Vissen,Vilmada,2016,210
1FAHP2F85GG187580,Dhavy,Robant,2014,48
2G1355S30G9709499,Ward,Wedge,2014,70
1FAHP1F85GG189840,Lono,Valon,2018,2
1HAS4AKC3GR901716,Ward,Esca,2015,278
1GKS2AKC3GR269620,Rodge,Rallenger,2018,335
1FAHP2F85GG645738,Dhavy,Nalibu,2015,357
1FAHP2F85GG331452,Ward,Roarus,2016,486
2G1145S30G9316771,Vissen,Naxim,2016,351
1FAHP2F36GG398182,Jonda,Lite,2018,263
1FAHP1F85GG682745,Dhavy,Nalibu,2016,379
1FAHP1F85GG953567,Ward,Esca,2018,323
1FAHP2F85GG518028,Vissen,Nath,2018,37
2G1145S30G9161996,Rodge,Murango,2018,137
2G1355S30G9723228,Ward,Dex,2015,224
1FAHP2F36GG155844,Rodge,Murango,2017,159
1GKS2AKC3GR557103,Vissen,Vuke,2016,249
1GKS2AKC3GR463741,Lono,Lamry,2017,242
1GKS2AKC3GR328574,Rodge,Rarge,2015,259
1FAHP2F85GG797652,Ward,Dex,2014,208
1GKS2AKC3GR226653,Dhavy,Raptiva,2016,489
1FAHP2F85GG711717,Ward,Dex,2015,385
2G1355S30G9301945,Dhavy,Devo,2017,330
1FAHP1F85GG823798,BMC,Mcadia,2017,244
1FAHP2F85GG353806,Lono,Lowlander,2016,10
1GKS2AKC3GR372948,Jonda,Lite,2015,221
1HAS4AKC3GR929736,Dhavy,Nalibu,2018,450
1FAHP2F36GG319895,Lono,Lowlander,2014,452
1HAS4AKC3GR398928,Jonda,Lite,2015,489
1HAS4AKC3GR687724,Ward,Wocus,2018,203
1FAHP2F85GG337266,Vissen,Naxim,2017,65
2G1145S30G9888266,Dhavy,Raptiva,2015,231
1FAHP2F85GG256238,Ward,Wocus,2016,99
1FAHP1F85GG275679,Vissen,Vilmada,2016,117
1FAHP2F36GG631256,Dhavy,Nalibu,2014,442
1FAHP2F36GG207473,BMC,Mcadia,2016,454
1HAS4AKC3GR459964,Lono,Valon,2018,436
2G1145S30G9773787,Dhavy,Nalibu,2014,182
2G1378S30G9883184,BMC,Mcadia,2017,192
2G1145S30G9210014,Dhavy,Devo,2016,255
1FAHP2F36GG647921,Lono,Laris,2014,139
2G1145S30G9408535,Vissen,Naxim,2015,72
2G1378S30G9201573,Rodge,Murango,2015,30
2G1378S30G9528987,Ward,Roarus,2015,392
2G1355S30G9198412,Rodge,Rallenger,2014,424
1FAHP1F85GG857847,Lono,Laris,2018,374
2G1378S30G9619243,BMC,Bonvoy,2018,16
1HAS4AKC3GR953120,Jonda,Vivic,2015,319
1HAS4AKC3GR599255,Dhavy,Nalibu,2018,397
2G1355S30G9187968,Dhavy,Devo,2015,149
1FAHP2F36GG452581,Ward,Roarus,2015,9
1FAHP1F85GG383195,Dhavy,Danaro,2016,279
2G1378S30G9321976,Jonda,Cord,2015,304
2G1378S30G9288457,Lono,Lowlander,2015,114
2G1378S30G9887079,Ward,Roarus,2014,168
1GKS2AKC3GR149473,Dhavy,Raptiva,2014,121
1FAHP2F85GG300073,BMC,Yerrain,2018,15
2G1355S30G9207119,Dhavy,Raptiva,2014,324
2G1378S30G9500486,Ward,Lexplor,2015,287
1GKS2AKC3GR572089,Dhavy,Nuze,2017,303
2G1145S30G9291268,Dhavy,Danaro,2015,179
1FAHP1F85GG568184,Dhavy,Robant,2018,6
1HAS4AKC3GR529726,Vissen,Nath,2014,407
2G1355S30G9266171,BMC,Bonvoy,2017,394
2G1145S30G9742364,Vissen,Lurano,2017,330
1FAHP2F85GG895023,BMC,Bonvoy,2016,433
2G1355S30G9876659,BMC,Bonvoy,2014,409
1FAHP2F36GG986830,Dhavy,Danaro,2015,160
1FAHP2F36GG302323,Ward,Wocus,2017,217
1HAS4AKC3GR531820,BMC,Bonvoy,2018,385
1HAS4AKC3GR998914,BMC,Mcadia,2014,182
1FAHP1F85GG942505,Jonda,Milot,2018,33
1FAHP1F85GG777225,Jonda,Vivic,2016,460
1FAHP2F36GG863344,Jonda,Milot,2014,40
1FAHP1F85GG521986,Rodge,Rarge,2015,432
1HAS4AKC3GR568551,Ward,Dex,2014,310
2G1378S30G9719924,Jonda,Milot,2017,24
2G1378S30G9912980,Rodge,Rallenger,2017,487
1FAHP2F36GG419945,Jonda,Lite,2016,325
2G1378S30G9410984,Dhavy,Nuze,2015,154
2G1145S30G9196611,Vissen,Naxim,2016,78
1FAHP2F85GG214023,Ward,Lexplor,2016,191
1FAHP2F36GG782094,Lono,Lowlander,2017,201
1HAS4AKC3GR879521,Ward,Esca,2014,2
1GKS2AKC3GR421501,Vissen,Vuke,2016,24
2G1145S30G9764486,Lono,Lonolla,2016,214
2G1145S30G9679584,BMC,Nukon,2018,290
1HAS4AKC3GR457162,Dhavy,Devo,2014,447
1GKS2AKC3GR857418,Vissen,Vilmada,2015,74
1FAHP2F85GG800638,BMC,Nukon,2016,43
1FAHP1F85GG485100,Jonda,Milot,2014,19
2G1378S30G9153923,Vissen,Nath,2014,199
1FAHP2F85GG268923,Vissen,Lurano,2016,376
2G1145S30G9447591,Lono,Lonolla,2018,469
1FAHP2F36GG289750,Dhavy,Devo,2017,93
1FAHP2F85GG393878,Lono,Valon,2018,456
1HAS4AKC3GR604060,Ward,Lexplor,2017,423
1HAS4AKC3GR611124,Ward,Esca,2018,95
1FAHP2F36GG483061,Ward,Esca,2014,316
1GKS2AKC3GR348941,Jonda,Lite,2016,454
1HAS4AKC3GR409195,Jonda,Lite,2018,374
1GKS2AKC3GR983968,Ward,Wocus,2017,15
1FAHP2F36GG685989,Vissen,Nath,2014,101
1FAHP2F36GG732966,Vissen,Vube,2014,393
1FAHP1F85GG983894,Lono,Valon,2016,281
2G1378S30G9944092,Ward,Roarus,2018,159
1FAHP2F85GG928176,Lono,Lowlander,2015,143
1FAHP2F85GG967585,BMC,Nukon,2016,204
2G1378S30G9588277,Jonda,Lite,2018,94
1FAHP1F85GG352834,Lono,Lowlander,2014,390
2G1145S30G9990067,Lono,Mirus,2014,351
1FAHP2F85GG400033,Dhavy,Robant,2015,27
1FAHP2F85GG944916,Vissen,Vilmada,2017,253
1FAHP1F85GG952808,Lono,Lamry,2017,50
1FAHP1F85GG157185,Vissen,Vilmada,2018,499
1HAS4AKC3GR326360,Rodge,Rallenger,2015,403
2G1355S30G9342264,Ward,Wedge,2016,331
1FAHP1F85GG500215,Lono,Laris,2018,104
1GKS2AKC3GR714777,Jonda,Cord,2017,87
2G1355S30G9646195,BMC,Nukon,2015,25
1FAHP2F85GG714858,Rodge,Murango,2017,82
1FAHP2F36GG314767,Dhavy,Nuze,2014,337
2G1355S30G9139054,Rodge,Rarge,2018,192
2G1378S30G9677744,BMC,Nukon,2018,464
1FAHP2F85GG248390,Dhavy,Nuze,2017,143
2G1355S30G9378833,Vissen,Nath,2016,215
1HAS4AKC3GR290134,Jonda,Milot,2017,441
2G1145S30G9300257,Jonda,Cord,2017,464
1HAS4AKC3GR712739,Lono,Lowlander,2014,20
2G1378S30G9163301,Dhavy,Robant,2018,490
2G1355S30G9936296,BMC,Bonvoy,2018,77
1FAHP2F36GG491063,Vissen,Vilta,2018,401
2G1145S30G9536680,Vissen,Lurano,2014,412
1FAHP2F85GG488123,BMC,Nukon,2015,373
1FAHP1F85GG607328,Ward,Roarus,2017,204
2G1378S30G9137754,Dhavy,Danaro,2014,133
1HAS4AKC3GR875175,Ward,Roarus,2016,58
1HAS4AKC3GR241945,Vissen,Nath,2016,277
1FAHP2F85GG182505,Ward,Wocus,2016,78
1FAHP2F85GG324901,Ward,Roarus,2014,483
1FAHP2F85GG614189,Ward,Roarus,2018,416
1GKS2AKC3GR878114,Jonda,Vivic,2016,65
2G1378S30G9448028,Lono,Lonolla,2015,336
1FAHP2F36GG267047,Jonda,Milot,2015,252
2G1355S30G9674630,Vissen,Nath,2015,479
2G1355S30G9817525,Jonda,Milot,2015,334
2G1145S30G9383769,Lono,Lowlander,2014,490
1FAHP2F85GG192796,BMC,Yerrain,2017,340
1FAHP1F85GG358009,BMC,Yerrain,2015,70
2G1355S30G9946176,Dhavy,Raptiva,2016,17
2G1378S30G9244530,Lono,Lamry,2014,338
1FAHP2F36GG802334,Dhavy,Robant,2016,332
2G1378S30G9793111,Lono,Valon,2015,315
2G1355S30G9342557,Vissen,Vuke,2014,391
1GKS2AKC3GR202902,Jonda,Vivic,2014,345
1FAHP2F85GG566054,Lono,Lonolla,2016,340
2G1355S30G9523201,Jonda,Lite,2017,105
1FAHP2F85GG873002,Lono,Valon,2018,96
1FAHP2F36GG140620,Vissen,Vuke,2014,278
1FAHP1F85GG924569,Dhavy,Danaro,2016,175
2G1145S30G9782390,Vissen,Vilmada,2015,331
1GKS2AKC3GR892489,Jonda,Milot,2018,386
1FAHP2F85GG480544,Dhavy,Danaro,2017,410
1FAHP2F85GG252022,Ward,Esca,2018,340
2G1145S30G9266366,Vissen,Vilta,2016,70
1FAHP2F36GG169090,Ward,Esca,2014,322
2G1355S30G9876613,Lono,Valon,2017,239
2G1145S30G9894557,Vissen,Naxim,2014,143
2G1145S30G9456279,Dhavy,Nuze,2016,450
2G1355S30G9250411,Lono,Laris,2015,39
2G1355S30G9608630,Rodge,Rarge,2014,140
2G1145S30G9471849,Dhavy,Nuze,2017,312
1FAHP2F36GG839005,Dhavy,Nuze,2014,194
2G1378S30G9512494,Ward,Dex,2014,214
2G1355S30G9737487,BMC,Nukon,2018,262
1HAS4AKC3GR804777,Lono,Mirus,2014,16
2G1145S30G9625222,Lono,Lonolla,2018,294
2G1355S30G9268147,Ward,Wedge,2015,419
2G1378S30G9974103,Vissen,Nath,2015,71
1GKS2AKC3GR414222,Lono,Lowlander,2015,213
1FAHP2F85GG452834,Vissen,Lurano,2014,206
2G1355S30G9584689,Ward,Esca,2014,137
2G1378S30G9163878,Lono,Lonolla,2017,229
2G1145S30G9129937,Lono,Lowlander,2014,157
1FAHP1F85GG341883,Jonda,Vivic,2014,323
1GKS2AKC3GR505134,Lono,Lonolla,2015,204
2G1378S30G9287363,Rodge,Rallenger,2018,313
1FAHP2F85GG880857,Jonda,Milot,2015,127
2G1355S30G9484821,Lono,Lamry,2014,314
1HAS4AKC3GR866611,Ward,Esca,2017,172
1FAHP2F36GG338659,Jonda,Vivic,2016,180
2G1355S30G9914545,Dhavy,Nalibu,2015,128
1FAHP2F36GG950987,BMC,Bonvoy,2015,259
2G1145S30G9614064,Jonda,Milot,2018,197
1FAHP2F85GG411349,BMC,Yerrain,2014,346
1FAHP2F85GG366614,Jonda,Cord,2016,357
2G1355S30G9626130,Lono,Mirus,2014,18
1FAHP2F36GG886528,Vissen,Naxim,2018,122
2G1355S30G9628432,Dhavy,Robant,2017,299
2G1145S30G9582974,BMC,Nukon,2017,123
2G1355S30G9421462,Vissen,Lurano,2016,461
2G1355S30G9435600,Ward,Roarus,2017,432
1FAHP1F85GG345373,Dhavy,Nalibu,2017,278
2G1378S30G9486718,Lono,Valon,2018,103
1GKS2AKC3GR141187,Jonda,Vivic,2017,275
2G1355S30G9770519,Jonda,Vivic,2014,406
2G1145S30G9278564,Jonda,Milot,2017,221
1FAHP2F36GG834301,Rodge,Rarge,2016,491
1HAS4AKC3GR696005,Dhavy,Nalibu,2016,463
1FAHP2F36GG475720,Vissen,Nath,2016,259
1FAHP2F36GG517877,Ward,Dex,2015,129
2G1145S30G9448346,Ward,Lexplor,2014,459
2G1378S30G9370133,Jonda,Vivic,2016,60
1FAHP1F85GG662702,Vissen,Nath,2016,338
1FAHP2F36GG955840,Ward,Dex,2016,344
2G1355S30G9585034,Jonda,Cord,2018,110
2G1378S30G9753738,Dhavy,Devo,2014,243
1GKS2AKC3GR498744,Ward,Wedge,2018,452
2G1355S30G9122917,Lono,Lonolla,2014,193
1FAHP2F85GG774078,BMC,Mcadia,2018,475
1FAHP2F85GG162759,Lono,Lonolla,2017,437
1FAHP1F85GG165365,Vissen,Vilta,2015,256
1GKS2AKC3GR745984,Jonda,Vivic,2016,446
1FAHP2F36GG921644,Ward,Wedge,2015,98
1FAHP1F85GG562751,Vissen,Vuke,2015,159
2G1145S30G9675838,BMC,Mcadia,2015,286
2G1378S30G9553313,Jonda,Milot,2017,357
1GKS2AKC3GR471522,Ward,Wocus,2016,200
1FAHP2F36GG547224,BMC,Bonvoy,2015,6
2G1378S30G9974621,Lono,Mirus,2015,390
2G1378S30G9794441,Ward,Dex,2014,129
1HAS4AKC3GR961958,BMC,Nukon,2014,347
2G1145S30G9830666,Dhavy,Devo,2018,441
2G1145S30G9980489,Vissen,Vilmada,2015,50
1HAS4AKC3GR442055,Dhavy,Devo,2015,250
1FAHP2F85GG872418,Jonda,Cord,2014,377
1FAHP2F36GG687755,Vissen,Vuke,2016,138
1FAHP2F85GG950909,Dhavy,Nalibu,2014,92
2G1378S30G9948399,Dhavy,Robant,2015,326
1FAHP2F36GG390987,Lono,Lowlander,2017,300
1HAS4AKC3GR322573,Rodge,Murango,2015,272
2G1355S30G9348759,Dhavy,Danaro,2016,242
2G1355S30G9503026,Dhavy,Devo,2015,374
1GKS2AKC3GR595112,BMC,Bonvoy,2017,276
2G1145S30G9703888,Jonda,Vivic,2015,75
1GKS2AKC3GR871649,Lono,Lamry,2017,276
1FAHP2F36GG113318,Dhavy,Robant,2016,462
1GKS2AKC3GR917897,BMC,Yerrain,2017,388
1FAHP2F36GG406052,Lono,Lowlander,2018,222
2G1355S30G9999799,Dhavy,Devo,2017,227
1FAHP2F85GG178301,Vissen,Vilta,2018,59
2G1378S30G9891950,Lono,Lonolla,2018,365
2G1355S30G9202416,Lono,Lonolla,2018,288
1FAHP2F85GG325111,Lono,Mirus,2017,263
1FAHP2F85GG827248,Vissen,Nath,2015,372
2G1378S30G9652425,Rodge,Rarge,2017,323
1GKS2AKC3GR291011,Dhavy,Nuze,2017,73
1HAS4AKC3GR142937,Ward,Dex,2016,202
1GKS2AKC3GR671681,Ward,Wedge,2015,39
1FAHP1F85GG824752,Vissen,Vuke,2014,303
2G1145S30G9263149,Ward,Esca,2017,415
1HAS4AKC3GR292490,Jonda,Cord,2017,164
1HAS4AKC3GR815194,Vissen,Vilta,2014,25
1GKS2AKC3GR564317,Lono,Valon,2014,305
1GKS2AKC3GR728045,Jonda,Cord,2017,425
1GKS2AKC3GR207109,Vissen,Vilmada,2014,384
2G1378S30G9579296,Dhavy,Danaro,2018,324
2G1378S30G9659238,Rodge,Rarge,2015,176
2G1355S30G9173917,Jonda,Vivic,2018,272
2G1355S30G9768819,Vissen,Lurano,2018,394
2G1355S30G9726144,Lono,Mirus,2015,48
2G1378S30G9702910,Ward,Wocus,2017,355
1HAS4AKC3GR451726,BMC,Mcadia,2015,172
1FAHP1F85GG445798,Ward,Roarus,2016,24
1FAHP2F36GG403414,Dhavy,Nuze,2017,68
1FAHP2F85GG808871,Lono,Lonolla,2018,469
1FAHP1F85GG264697,Jonda,Milot,2018,265
1HAS4AKC3GR161557,Jonda,Cord,2015,386
1FAHP1F85GG403220,Vissen,Vilmada,2018,201
1FAHP2F36GG225764,Dhavy,Danaro,2016,477
1FAHP2F85GG495692,Vissen,Lurano,2015,408
1HAS4AKC3GR329949,Vissen,Vilta,2018,86
2G1355S30G9645405,Ward,Roarus,2017,0
1GKS2AKC3GR627262,Ward,Esca,2015,42
2G1378S30G9929770,Lono,Lonolla,2015,192
1FAHP2F36GG926625,Ward,Esca,2017,140
1FAHP2F85GG196103,Lono,Valon,2018,257
1GKS2AKC3GR953003,BMC,Mcadia,2014,204
1HAS4AKC3GR718891,BMC,Yerrain,2017,222
1GKS2AKC3GR977400,Vissen,Lurano,2015,484
2G1145S30G9545687,Jonda,Lite,2018,287
2G1378S30G9670636,BMC,Mcadia,2015,176
2G1145S30G9482968,Jonda,Cord,2015,69
1FAHP1F85GG281655,Rodge,Rarge,2016,69
1GKS2AKC3GR725271,Jonda,Cord,2015,409
1FAHP1F85GG780060,Jonda,Lite,2016,367
1FAHP2F36GG509760,Lono,Mirus,2015,142
2G1145S30G9360695,Lono,Valon,2016,113
1HAS4AKC3GR397454,Ward,Dex,2017,93
1FAHP2F36GG584653,Ward,Roarus,2017,218
2G1355S30G9144572,Ward,Roarus,2018,230
1GKS2AKC3GR288929,BMC,Bonvoy,2016,268
1FAHP1F85GG524275,Rodge,Rallenger,2015,379
